id;user_id;reaction_type;created_at;updated_at;post_id
a11c569b-ac49-4859-8445-51788ee01e0c;23d1a631-9e6f-4d9a-8265-571cd9e46769;SAD;2023-12-02T19:16:01;2023-12-02T08:03:01;f9c06566-6017-4875-9d3e-bf55883b7813
656b9332-c5cb-4748-9e3c-4fbb58849906;93d0c4b5-33f3-4569-b9e0-b95c2c45145c;LIKE;2023-12-02T02:42:28;2023-12-01T21:28:35;c16d45e7-1a36-4c5d-b4f7-52aa42095cc1
b0a841ec-7aa9-4c03-a7c4-a6cc668184fc;bcec7a64-389b-47af-8c84-7ed6f86b5904;LIKE;2023-12-02T12:46:13;2023-12-02T18:28:18;fc919f2c-530e-4fdf-8d1c-3eb4db6a49f7
e0579d43-f0a9-469b-a9c9-56054904225c;36ac4d17-8240-48cc-bda2-0577588ef313;WOW;2023-12-02T02:47:45;2023-12-02T19:44:45;e180b8df-066d-457a-801f-909f78364138
6b6c111f-64be-4cc1-937c-e0c537484572;967b5bde-f29e-4f04-ac64-83f1e321c2c7;HAHA;2023-12-02T13:50:21;2023-12-02T04:00:46;cb0d45ea-5a68-47a3-9388-1ad964768d66
8a1d69a3-5798-4dd3-89b7-d8aab90100a3;28bb97f0-b171-469e-8a12-0322b372843d;LIKE;2023-12-02T15:25:23;2023-12-02T18:03:45;34efb4c2-044f-4bd5-9cc5-b5663d30c3f3
47bdf44e-b93a-47eb-825f-379dbd3c51be;812aba20-c986-4aca-9815-91c8d48a3efc;HAHA;2023-12-02T00:34:57;2023-12-02T07:43:36;01adac73-54c5-430a-87d7-967865ab620c
63fd2c2e-9a93-4fd6-9c5c-3e838bfccc57;a3116c63-a498-45dd-a81c-4279f63849e9;HAHA;2023-12-02T03:12:16;2023-12-02T11:36:06;af18025b-d5ba-404a-a4a3-3e2600a31eba
b6df41cc-b3b5-4548-8ec1-41ed16542e52;826a5d3c-ff0a-49d5-bae4-ff87b5821155;SAD;2023-12-02T12:25:49;2023-12-02T02:18:09;b3747dda-96ea-478b-9ef6-9963250221e7
43bdfd3f-673c-431d-bc6b-b85f63d315f2;d143973c-d3e0-41a0-9e26-9400520c9921;ANGRY;2023-12-02T07:00:21;2023-12-02T00:05:19;eefc7c33-257c-45d6-81b2-383a413134b0
53431c05-a067-4790-9e9d-71ceed931d1e;5e3951f1-5785-4b23-8d97-117e6a88a1b4;LOVE;2023-12-02T06:37:37;2023-12-02T14:03:05;e13e990d-4453-4374-97ab-8efd518f1e2e
b4c6c416-1c58-4a04-8d70-fec4bbd1eb12;2b6506af-094b-4231-a54f-cabcbfd4153c;WOW;2023-12-02T08:01:47;2023-12-02T12:49:31;2fb82a7a-9d60-48e3-991a-32bec3c6a433
b18900c2-79fe-4f98-9a5b-2120436a3dab;b0fa7e0f-da24-4d10-8a83-577ce371a03a;HAHA;2023-12-02T10:00:27;2023-12-02T01:46:13;23d63f8e-f466-44d0-a1c6-c48f63dd1c46
326a5183-69b7-4bb1-a021-71902722d137;b1438079-94e3-4d21-b205-453b1de02eb2;ANGRY;2023-12-01T21:04:46;2023-12-01T22:25:49;03c4375c-d272-4530-b8b9-792ec3569106
120c4c0b-b015-4da1-986b-127d916140c5;9bd52265-8648-4c70-a4bf-cb321bf30221;HAHA;2023-12-02T07:22:56;2023-12-02T00:39:24;a9aad2ea-102d-4db2-8a8d-907e9ce8f9cd
11357b5e-4cc6-470a-a191-c9e72386575c;76c21ef1-9457-41e6-a504-15161f4d8292;LIKE;2023-12-02T03:55:15;2023-12-02T01:45:14;b5951359-8cba-400d-afeb-9251e7551eb2
8dc74eb2-1459-48d9-ae74-9a9b902bdaf8;c0a3c343-b59d-405a-9dc4-478030e8d17f;LOVE;2023-12-02T14:45:08;2023-12-02T14:54:30;d1f8c6cb-3424-49a0-b4d0-458c2ba98749
654f2685-4dfc-44a0-8559-73c5a7d92e50;867b015e-9eaa-4f75-ae43-dee04a1b813e;LOVE;2023-12-01T20:01:48;2023-12-01T21:22:32;624020b3-1ce8-4e29-a456-c9be71a8f8af
312b9dd9-476a-4e99-9677-9c2c6c5991ec;e610d638-b3a9-4481-ac57-a3a79a851090;HAHA;2023-12-02T19:46:39;2023-12-01T22:40:48;756e7794-b176-4513-90c9-ad21d0aec555
51a61989-02b9-40dc-bd30-b545c973d8dd;4acc4e5d-9b01-4f56-9c87-dfb9d43f876e;HAHA;2023-12-02T16:35:40;2023-12-02T10:46:32;376f4a2e-ed6f-489b-a227-1d5d1c99859e
0c049499-2c16-477b-983d-e43cd1e1efc8;33cf0ea2-e40b-4782-9e15-03e4c4feaaf7;HAHA;2023-12-01T20:48:51;2023-12-01T23:42:40;fba5b74e-8395-4773-ada4-e393b452b46b
80a5440c-1efb-467f-93bc-0b8df8a286cd;8f520f42-b6fb-4bbc-8c8b-8943d91d270a;ANGRY;2023-12-02T17:14:00;2023-12-02T02:03:36;b50e32f7-d699-4133-8dea-3a7629d23e6b
8878de57-cdce-444d-aec0-e68013ecaa23;69a8931c-0238-4270-92ae-f49a75857c3c;SAD;2023-12-02T05:21:30;2023-12-02T00:55:56;068789a8-cee2-4d74-8d1f-fc543ca45a81
73e75744-805f-42af-b612-e0f9db7385c3;44f72023-b51f-4dd5-bec7-13b24b9a1497;LIKE;2023-12-02T02:26:29;2023-12-01T21:18:47;e0465be3-20c0-4f58-b5ce-438fb69c123b
310c69e5-34ef-44b9-a1d1-3d1fd2f29999;d9bf0fe0-0bec-494b-a93e-30923c77fa3f;WOW;2023-12-02T06:12:44;2023-12-02T08:27:08;fc713820-60d4-4df8-854a-f6170b0c5458
593cf90e-e05a-4227-bff4-ab12c598d05e;00a43675-ac89-433c-8c8d-e1a1ee6ae6aa;ANGRY;2023-12-02T11:46:38;2023-12-02T06:04:03;f6ed65b5-4f5b-4a45-8531-fb79b37b1470
896093a4-8810-4297-b2a3-5a4f397720c4;aab48450-11fa-4bce-a6cb-dccef65b278f;HAHA;2023-12-02T12:16:18;2023-12-02T19:05:21;4a927dcf-68e3-4928-80fd-9f490c8b1051
a0b13791-f1e8-415c-a496-6e3a78b91679;6632cee3-4c81-49f9-bec4-18b79852fe79;WOW;2023-12-01T21:13:23;2023-12-02T02:51:26;b1b86707-c155-461a-8555-8b5ec38ef317
5084678d-6651-4f53-a0c3-45a872b74a5e;283b1e1c-0ae3-45e4-8fd6-c39b7cc1594d;HAHA;2023-12-02T02:12:07;2023-12-02T06:08:16;75087563-43eb-4560-8c01-04dee184ec78
b7fc545d-e185-438e-b1bf-9dba9eb58f5d;a710398e-037b-4a26-8f8f-a5d76fa551f7;SAD;2023-12-02T10:06:44;2023-12-02T13:46:08;f67f145f-8de3-4aba-beb0-313fe06e4f4e
