id;author_id;content;visibility;status;created_at;updated_at
f9c06566-6017-4875-9d3e-bf55883b7813;bb607e66-4a59-492a-9251-34a60ad37b48;../fake-data/blob/hipster.txt;PUBLIC;DELETED;2023-12-01T20:19:52;2023-12-02T11:46:27
c16d45e7-1a36-4c5d-b4f7-52aa42095cc1;fde8fc8f-ac8e-4abd-94c3-ca621fdb2765;../fake-data/blob/hipster.txt;FRIENDS;ACTIVE;2023-12-02T11:43:03;2023-12-02T14:37:32
fc919f2c-530e-4fdf-8d1c-3eb4db6a49f7;ac331b11-6af0-4dac-bac2-beff13fafc7a;../fake-data/blob/hipster.txt;FRIENDS;ACTIVE;2023-12-02T01:14:09;2023-12-02T15:38:39
e180b8df-066d-457a-801f-909f78364138;178a8d24-d080-4ff9-819a-38f4b114d5f8;../fake-data/blob/hipster.txt;FRIENDS;DELETED;2023-12-02T12:26:46;2023-12-01T20:09:09
cb0d45ea-5a68-47a3-9388-1ad964768d66;c9c6e7e7-8455-47bf-a892-070b370cf5d8;../fake-data/blob/hipster.txt;PUBLIC;DELETED;2023-12-02T08:15:41;2023-12-01T21:36:22
34efb4c2-044f-4bd5-9cc5-b5663d30c3f3;f2ca2f27-7ce0-451b-a0b7-8d4d050ac31d;../fake-data/blob/hipster.txt;PRIVATE;ACTIVE;2023-12-02T19:01:21;2023-12-02T18:32:16
01adac73-54c5-430a-87d7-967865ab620c;2ba20b9f-6805-447b-9e8c-0513cf893b3a;../fake-data/blob/hipster.txt;PRIVATE;DELETED;2023-12-02T04:54:10;2023-12-02T12:14:51
af18025b-d5ba-404a-a4a3-3e2600a31eba;c5a56e5b-e36d-43e2-a2c7-5f53ec804dba;../fake-data/blob/hipster.txt;PUBLIC;DELETED;2023-12-02T16:13:00;2023-12-02T14:19:48
b3747dda-96ea-478b-9ef6-9963250221e7;446029e4-da44-4870-a3f2-28424af10b54;../fake-data/blob/hipster.txt;FRIENDS;ACTIVE;2023-12-02T16:58:12;2023-12-01T22:11:17
eefc7c33-257c-45d6-81b2-383a413134b0;38795c25-c717-41d8-bb39-43cbfdf90522;../fake-data/blob/hipster.txt;PUBLIC;ACTIVE;2023-12-02T19:10:42;2023-12-02T16:58:27
e13e990d-4453-4374-97ab-8efd518f1e2e;d86ab9d4-ad65-47d3-a1e6-c1181e793527;../fake-data/blob/hipster.txt;PUBLIC;ACTIVE;2023-12-02T18:27:09;2023-12-02T03:27:50
2fb82a7a-9d60-48e3-991a-32bec3c6a433;26245ab1-f651-4b0b-aba1-66a325eb3b98;../fake-data/blob/hipster.txt;PRIVATE;ACTIVE;2023-12-02T16:48:51;2023-12-02T17:29:16
23d63f8e-f466-44d0-a1c6-c48f63dd1c46;e48f59b8-e079-4db3-8d7a-822599125355;../fake-data/blob/hipster.txt;FRIENDS;DELETED;2023-12-02T17:12:38;2023-12-02T09:21:59
03c4375c-d272-4530-b8b9-792ec3569106;7ebc46ce-b80e-4146-9c42-81d20bb60b62;../fake-data/blob/hipster.txt;PRIVATE;ACTIVE;2023-12-02T17:48:37;2023-12-02T09:05:47
a9aad2ea-102d-4db2-8a8d-907e9ce8f9cd;cf5cfc7d-c021-4bcc-a91c-6742797a571d;../fake-data/blob/hipster.txt;PRIVATE;DELETED;2023-12-02T17:53:40;2023-12-02T19:00:00
b5951359-8cba-400d-afeb-9251e7551eb2;56d510b9-8573-425a-b551-e84ad802dfb2;../fake-data/blob/hipster.txt;PUBLIC;DELETED;2023-12-02T11:27:42;2023-12-02T16:23:42
d1f8c6cb-3424-49a0-b4d0-458c2ba98749;7dab1668-1ce8-482f-ae6f-8296347113a3;../fake-data/blob/hipster.txt;PUBLIC;ACTIVE;2023-12-02T16:06:28;2023-12-02T01:19:24
624020b3-1ce8-4e29-a456-c9be71a8f8af;f24a24a4-04f1-41c4-9a3b-22faa5c999d4;../fake-data/blob/hipster.txt;PUBLIC;DELETED;2023-12-02T10:39:30;2023-12-02T01:21:30
756e7794-b176-4513-90c9-ad21d0aec555;90f35dba-85f8-4153-a84f-5f549a21d446;../fake-data/blob/hipster.txt;PRIVATE;DELETED;2023-12-02T04:26:49;2023-12-02T00:03:02
376f4a2e-ed6f-489b-a227-1d5d1c99859e;03231c03-20e3-41ba-bb0f-e6bf2fa5424a;../fake-data/blob/hipster.txt;PUBLIC;ACTIVE;2023-12-02T01:14:13;2023-12-01T21:18:54
fba5b74e-8395-4773-ada4-e393b452b46b;b271fd64-1574-40ed-b196-86f8e81f8439;../fake-data/blob/hipster.txt;PUBLIC;ACTIVE;2023-12-02T12:08:02;2023-12-01T22:17:45
b50e32f7-d699-4133-8dea-3a7629d23e6b;06b2f613-558c-4568-8546-f944ecaae078;../fake-data/blob/hipster.txt;PRIVATE;ACTIVE;2023-12-01T23:24:12;2023-12-02T05:23:27
068789a8-cee2-4d74-8d1f-fc543ca45a81;503cc029-4061-484f-a608-426bcd764b22;../fake-data/blob/hipster.txt;PUBLIC;DELETED;2023-12-02T15:41:15;2023-12-02T08:50:44
e0465be3-20c0-4f58-b5ce-438fb69c123b;088647e6-0ede-4f5d-8d53-1aa9cf841eb9;../fake-data/blob/hipster.txt;FRIENDS;DELETED;2023-12-01T23:23:41;2023-12-02T17:11:58
fc713820-60d4-4df8-854a-f6170b0c5458;721c0c14-9e42-41d9-847f-00d55fba7475;../fake-data/blob/hipster.txt;FRIENDS;ACTIVE;2023-12-02T03:05:25;2023-12-02T06:51:17
f6ed65b5-4f5b-4a45-8531-fb79b37b1470;363023fe-089d-4caf-8e9a-330ce59f3ab1;../fake-data/blob/hipster.txt;PRIVATE;DELETED;2023-12-02T09:01:07;2023-12-02T01:15:15
4a927dcf-68e3-4928-80fd-9f490c8b1051;fb3d62d9-1fc4-4a7a-a717-3a31a33f2dac;../fake-data/blob/hipster.txt;FRIENDS;DELETED;2023-12-02T12:25:51;2023-12-02T00:44:28
b1b86707-c155-461a-8555-8b5ec38ef317;425b9a20-6692-4347-a4e6-19e9913e1d3e;../fake-data/blob/hipster.txt;FRIENDS;DELETED;2023-12-02T15:22:29;2023-12-02T02:00:24
75087563-43eb-4560-8c01-04dee184ec78;5322ac1d-03a1-4d53-9dd4-365b2505728b;../fake-data/blob/hipster.txt;PUBLIC;DELETED;2023-12-02T00:15:21;2023-12-02T18:27:07
f67f145f-8de3-4aba-beb0-313fe06e4f4e;bf586757-07f1-4dab-8913-9eddaaab2833;../fake-data/blob/hipster.txt;PUBLIC;DELETED;2023-12-02T07:03:59;2023-12-02T05:01:41
