id;created_at;user_id;friend_id
1ea18399-93f0-478c-8a06-b2d73ce44fd4;2023-12-09T16:05:45;4c2e163b-af06-4dc4-b96f-6c034a39d0f1;4c2e163b-af06-4dc4-b96f-6c034a39d0f1
a0253696-4a05-476c-9db2-5d502a59a73f;2023-12-09T08:21:16;92a12bb5-f53b-4084-9db6-cebb84ad28a2;92a12bb5-f53b-4084-9db6-cebb84ad28a2
2774f478-435a-4b5c-894c-c5ef07c3be59;2023-12-09T18:53:11;d5ea5543-1544-4c05-8446-f28fa7223f6c;d5ea5543-1544-4c05-8446-f28fa7223f6c
cd28fa9b-2955-403b-82f5-703755abad4e;2023-12-09T15:41:41;23813ade-97c5-4c3b-ba9c-f89867590754;23813ade-97c5-4c3b-ba9c-f89867590754
42c6a18f-380d-41e3-b754-1566a462a71d;2023-12-09T23:03:40;c11cbf53-86e8-4827-b291-526dbff167d9;c11cbf53-86e8-4827-b291-526dbff167d9
98278fb7-c9b1-4932-ba9f-397fedb66615;2023-12-09T07:02:06;3ee82df8-c221-486f-9229-d6773a3b882a;3ee82df8-c221-486f-9229-d6773a3b882a
f95c709e-484a-4625-a20a-986ab01459b7;2023-12-10T03:25:26;9104c1f1-7b51-4c37-8005-a41a5762688d;9104c1f1-7b51-4c37-8005-a41a5762688d
f9b0b973-216b-48ee-ae02-a65b475ab9c2;2023-12-09T07:13:33;b794a41e-2f5b-44d0-88cb-96dcebf74162;b794a41e-2f5b-44d0-88cb-96dcebf74162
ba70cbed-e619-46ac-948d-d22fa290463f;2023-12-09T07:16:05;61cdd562-3adb-4188-a53b-4117399e4dfd;61cdd562-3adb-4188-a53b-4117399e4dfd
01c5e8f9-a820-4a39-b1af-dc2e34a9490e;2023-12-09T09:39:10;88f2e3d2-0fe7-4deb-9478-2f1952432048;88f2e3d2-0fe7-4deb-9478-2f1952432048
e333ac6f-8670-4086-938a-3960ead38975;2023-12-10T03:18:21;98ba9616-1d65-4621-b9ea-a819f0e351fb;98ba9616-1d65-4621-b9ea-a819f0e351fb
288c982e-8fec-4ae2-8d22-138abd47852c;2023-12-10T01:00:16;ef6780e4-08b1-4258-a892-40d85dca6825;ef6780e4-08b1-4258-a892-40d85dca6825
c6520547-5f1f-4607-bef1-ad0aa80a9138;2023-12-09T20:35:52;3f5801bd-c771-40f6-b3ab-5f6e11e542c2;3f5801bd-c771-40f6-b3ab-5f6e11e542c2
abeaf658-6f22-4ad2-af2b-d67c6f7eddd4;2023-12-09T22:07:30;eece46fd-e527-472f-accd-b91e8d0c7fd5;eece46fd-e527-472f-accd-b91e8d0c7fd5
4531efae-6dae-441d-9d13-741fa642c80c;2023-12-10T04:11:16;7e9c5b25-c85f-4c43-9b58-63788ac75631;7e9c5b25-c85f-4c43-9b58-63788ac75631
5812f5c9-42d3-41c3-99f6-9d656ac53b0f;2023-12-09T11:29:57;3f522f22-4bfe-42ed-8bf5-a8f71e3e2b94;3f522f22-4bfe-42ed-8bf5-a8f71e3e2b94
ff7b7191-44a6-4b3e-b653-99f1046c4d2c;2023-12-10T03:00:49;6447e5b4-62b6-4c13-83d0-1cc7a0ec96c1;6447e5b4-62b6-4c13-83d0-1cc7a0ec96c1
74bae911-4a7b-4383-a188-979f156da0e0;2023-12-09T13:55:21;810e43e2-0e01-4794-a8c5-78cfe19a5279;810e43e2-0e01-4794-a8c5-78cfe19a5279
cf055ed9-5d6e-44ad-a62b-97db11a803a5;2023-12-09T14:27:42;1f5e54b3-6302-40f3-bef3-59bb608d4f22;1f5e54b3-6302-40f3-bef3-59bb608d4f22
86595bd1-5f21-4137-be6b-24ddac6c5a12;2023-12-09T19:32:34;1212773e-8de0-4ee8-b460-3165768b009a;1212773e-8de0-4ee8-b460-3165768b009a
b660cb52-80b3-4dbd-bb87-c48a9abf1443;2023-12-10T02:15:16;b1724916-53d0-45dd-b612-2e391b8f9784;b1724916-53d0-45dd-b612-2e391b8f9784
c641efd7-c79a-4468-a68d-bd58e8ae2160;2023-12-09T08:38:17;cc705fca-f604-4cda-9106-7f24d530c3b4;cc705fca-f604-4cda-9106-7f24d530c3b4
ac1f314e-c8af-42dc-9d09-17f671424143;2023-12-09T11:00:35;21d87295-00c9-4f4f-a254-370d54ed8cb3;21d87295-00c9-4f4f-a254-370d54ed8cb3
7b65e100-d3e2-4048-8464-16f7cef39c29;2023-12-09T11:17:32;dc59befd-98eb-4dd1-b7dc-9b58c51b6450;dc59befd-98eb-4dd1-b7dc-9b58c51b6450
a2ce3625-5284-4cf6-bc06-926a32efcba7;2023-12-09T23:34:38;3e772373-8e44-49e0-828f-cabffa1ab374;3e772373-8e44-49e0-828f-cabffa1ab374
233a1520-9589-4529-9589-9f25cf3079b7;2023-12-09T17:02:35;1585c475-91f2-4bf7-aae0-368aae451f58;1585c475-91f2-4bf7-aae0-368aae451f58
ed59c66e-61f2-4e42-a817-e2aa5db0a21a;2023-12-09T08:30:29;9084cbf7-1af3-4408-a58a-33424d1e8e0d;9084cbf7-1af3-4408-a58a-33424d1e8e0d
8916d105-05a5-4038-8fd6-c58fd0bf01c3;2023-12-10T03:57:08;98f5f5ec-2578-4d78-837a-84a714d6acc7;98f5f5ec-2578-4d78-837a-84a714d6acc7
fa3ed4c8-c776-4e48-abf3-f0f0eb8d24d1;2023-12-09T09:44:11;25751d44-b0da-4f6d-8c1e-52fac5eb65da;25751d44-b0da-4f6d-8c1e-52fac5eb65da
01994c2f-332e-4c24-b829-51751a59e451;2023-12-09T10:55:27;18d1c295-9d2b-4c2c-b119-dc8bd9b1b1f2;18d1c295-9d2b-4c2c-b119-dc8bd9b1b1f2
