id;created_at;follower_id;following_id
8e53872b-9b23-43ea-884c-582160263cf2;2023-12-09T19:49:31;4c2e163b-af06-4dc4-b96f-6c034a39d0f1;4c2e163b-af06-4dc4-b96f-6c034a39d0f1
9840168e-be60-4142-8ae8-cd30ad9caf60;2023-12-10T03:57:13;92a12bb5-f53b-4084-9db6-cebb84ad28a2;92a12bb5-f53b-4084-9db6-cebb84ad28a2
c6d305a0-297b-4d58-ad93-efac5781ff3b;2023-12-09T10:54:29;d5ea5543-1544-4c05-8446-f28fa7223f6c;d5ea5543-1544-4c05-8446-f28fa7223f6c
743221a8-89d3-469f-993b-6bee5afed5c5;2023-12-09T15:52:17;23813ade-97c5-4c3b-ba9c-f89867590754;23813ade-97c5-4c3b-ba9c-f89867590754
8765263b-b8a2-4ac9-9f53-861e75619431;2023-12-10T00:59:44;c11cbf53-86e8-4827-b291-526dbff167d9;c11cbf53-86e8-4827-b291-526dbff167d9
97d68873-8463-41e4-985d-6dcc274930a0;2023-12-09T06:41:42;3ee82df8-c221-486f-9229-d6773a3b882a;3ee82df8-c221-486f-9229-d6773a3b882a
f42b6418-7089-4447-bfee-0fe7070b2741;2023-12-09T11:55:26;9104c1f1-7b51-4c37-8005-a41a5762688d;9104c1f1-7b51-4c37-8005-a41a5762688d
2465a9d2-de48-4d9a-9198-b0c00216880e;2023-12-09T05:33:56;b794a41e-2f5b-44d0-88cb-96dcebf74162;b794a41e-2f5b-44d0-88cb-96dcebf74162
becd0be2-dcd2-418e-9ecb-d12f179f72e5;2023-12-09T14:23:16;61cdd562-3adb-4188-a53b-4117399e4dfd;61cdd562-3adb-4188-a53b-4117399e4dfd
8fded1b8-3155-4025-a931-a27e6fb545ea;2023-12-09T17:32:45;88f2e3d2-0fe7-4deb-9478-2f1952432048;88f2e3d2-0fe7-4deb-9478-2f1952432048
beab6696-586c-46d8-9e66-5b75599e5d5a;2023-12-09T04:53:20;98ba9616-1d65-4621-b9ea-a819f0e351fb;98ba9616-1d65-4621-b9ea-a819f0e351fb
5a5201e9-d6ac-42e3-ac86-0b2c465f36c5;2023-12-10T03:40:42;ef6780e4-08b1-4258-a892-40d85dca6825;ef6780e4-08b1-4258-a892-40d85dca6825
55d7a44e-5671-4965-bff0-b7a11a95eb78;2023-12-09T19:58:21;3f5801bd-c771-40f6-b3ab-5f6e11e542c2;3f5801bd-c771-40f6-b3ab-5f6e11e542c2
9a9a4a55-80f1-4767-8f1f-a2969a8625be;2023-12-09T11:20:06;eece46fd-e527-472f-accd-b91e8d0c7fd5;eece46fd-e527-472f-accd-b91e8d0c7fd5
a660dfd7-d2ab-4a3b-86c5-623a2e9f4ca6;2023-12-09T15:52:36;7e9c5b25-c85f-4c43-9b58-63788ac75631;7e9c5b25-c85f-4c43-9b58-63788ac75631
95677255-bd99-49fe-b409-2ada7604180e;2023-12-09T21:51:14;3f522f22-4bfe-42ed-8bf5-a8f71e3e2b94;3f522f22-4bfe-42ed-8bf5-a8f71e3e2b94
dec12be2-d1f0-4c3e-a153-a897f7a7c6d5;2023-12-09T07:38:20;6447e5b4-62b6-4c13-83d0-1cc7a0ec96c1;6447e5b4-62b6-4c13-83d0-1cc7a0ec96c1
6255e67b-6384-4928-97fe-d158e0dc447e;2023-12-10T02:21:53;810e43e2-0e01-4794-a8c5-78cfe19a5279;810e43e2-0e01-4794-a8c5-78cfe19a5279
2623e70b-4eb5-481b-a572-0020b20c1c67;2023-12-09T10:04:17;1f5e54b3-6302-40f3-bef3-59bb608d4f22;1f5e54b3-6302-40f3-bef3-59bb608d4f22
89edf605-cd83-49a5-8d5a-09a55d6cc3c6;2023-12-09T13:06:27;1212773e-8de0-4ee8-b460-3165768b009a;1212773e-8de0-4ee8-b460-3165768b009a
95ff2422-1d52-49f1-ae01-83343e409ecb;2023-12-10T03:59:53;b1724916-53d0-45dd-b612-2e391b8f9784;b1724916-53d0-45dd-b612-2e391b8f9784
233ac41e-0776-41d0-a07d-96ee05464f87;2023-12-10T03:08:08;cc705fca-f604-4cda-9106-7f24d530c3b4;cc705fca-f604-4cda-9106-7f24d530c3b4
cb41f57c-cb7e-49bb-b877-3a1d2e085da7;2023-12-09T08:26:51;21d87295-00c9-4f4f-a254-370d54ed8cb3;21d87295-00c9-4f4f-a254-370d54ed8cb3
720e5dec-3731-400d-8828-8f9d1347d46a;2023-12-09T11:00:31;dc59befd-98eb-4dd1-b7dc-9b58c51b6450;dc59befd-98eb-4dd1-b7dc-9b58c51b6450
f39f9035-6f29-4852-abca-f2247d2f2d7e;2023-12-10T00:47:38;3e772373-8e44-49e0-828f-cabffa1ab374;3e772373-8e44-49e0-828f-cabffa1ab374
e6f7de84-b072-4d95-90b4-f50364ea99ab;2023-12-09T23:13:47;1585c475-91f2-4bf7-aae0-368aae451f58;1585c475-91f2-4bf7-aae0-368aae451f58
d08ad949-2ae9-4967-9cb6-07a173d88598;2023-12-09T17:36:52;9084cbf7-1af3-4408-a58a-33424d1e8e0d;9084cbf7-1af3-4408-a58a-33424d1e8e0d
e6fef221-e14f-403b-9aa3-6da59476276f;2023-12-09T15:13:40;98f5f5ec-2578-4d78-837a-84a714d6acc7;98f5f5ec-2578-4d78-837a-84a714d6acc7
9ee5d8cf-1bf4-4a1b-a3fb-8eab53f54989;2023-12-09T16:54:28;25751d44-b0da-4f6d-8c1e-52fac5eb65da;25751d44-b0da-4f6d-8c1e-52fac5eb65da
f858ec87-5351-4d72-a734-4e281d37683d;2023-12-10T04:21:14;18d1c295-9d2b-4c2c-b119-dc8bd9b1b1f2;18d1c295-9d2b-4c2c-b119-dc8bd9b1b1f2
