id;status;created_at;responded_at;sender_id;receiver_id
75536771-1844-4a99-b8f9-a4d14ffc6cfe;REJECTED;2023-12-09T13:30:29;2023-12-09T22:22:47;4c2e163b-af06-4dc4-b96f-6c034a39d0f1;4c2e163b-af06-4dc4-b96f-6c034a39d0f1
02a8fe58-c881-4305-8ff7-dbbe43247933;ACCEPTED;2023-12-09T23:06:16;2023-12-09T08:31:33;92a12bb5-f53b-4084-9db6-cebb84ad28a2;92a12bb5-f53b-4084-9db6-cebb84ad28a2
1aca824a-0217-4287-a67b-c4f566659a81;PENDING;2023-12-09T14:53:58;2023-12-09T18:54:50;d5ea5543-1544-4c05-8446-f28fa7223f6c;d5ea5543-1544-4c05-8446-f28fa7223f6c
6a8d73df-3dba-47e2-be67-dcb6ffc2a904;REJECTED;2023-12-10T02:08:46;2023-12-09T18:29:26;23813ade-97c5-4c3b-ba9c-f89867590754;23813ade-97c5-4c3b-ba9c-f89867590754
7d100721-a8f6-4ed7-b1ab-53ed2b6fb350;CANCELLED;2023-12-09T19:34:28;2023-12-09T15:51:18;c11cbf53-86e8-4827-b291-526dbff167d9;c11cbf53-86e8-4827-b291-526dbff167d9
cad43331-292c-46ff-abb3-52420d772a8d;PENDING;2023-12-09T18:22:11;2023-12-10T03:29:51;3ee82df8-c221-486f-9229-d6773a3b882a;3ee82df8-c221-486f-9229-d6773a3b882a
bb7904fc-2903-4ed1-883b-3e1a7eba8371;ACCEPTED;2023-12-09T07:10:57;2023-12-09T07:00:16;9104c1f1-7b51-4c37-8005-a41a5762688d;9104c1f1-7b51-4c37-8005-a41a5762688d
56873b2f-76bf-4a30-8c9a-37e25a35888d;PENDING;2023-12-09T23:52:57;2023-12-09T16:24:16;b794a41e-2f5b-44d0-88cb-96dcebf74162;b794a41e-2f5b-44d0-88cb-96dcebf74162
ac2070a3-60ba-4d99-aa82-c4e76f3c9b10;CANCELLED;2023-12-09T07:42:56;2023-12-09T18:28:15;61cdd562-3adb-4188-a53b-4117399e4dfd;61cdd562-3adb-4188-a53b-4117399e4dfd
28bf79a3-dea8-4ee3-acb2-7a302ff9a5a7;PENDING;2023-12-09T19:32:56;2023-12-10T01:26:46;88f2e3d2-0fe7-4deb-9478-2f1952432048;88f2e3d2-0fe7-4deb-9478-2f1952432048
b43bbff8-e812-4562-99c8-3075ce0506d3;CANCELLED;2023-12-09T18:34:07;2023-12-09T10:22:54;98ba9616-1d65-4621-b9ea-a819f0e351fb;98ba9616-1d65-4621-b9ea-a819f0e351fb
