id;owner_id;file_name;media_type;mime_type;file_size;storage_provider;storage_key;url;status;created_at;updated_at
01de3458-19ab-405e-a54e-ae692430d09f;5f75dc5b-feb2-4324-b631-d21c69998380;against;AUDIO;willing unto;3616;AWS_S3;educated merit lighthearted;https://frilly-premier.org;DELETED;2023-12-06T03:41:19;2023-12-05T19:25:33
f8146738-a356-4940-8fba-7bb2ff838af8;ca20a951-3763-42f2-a83d-67bd3c8e4d07;manipulate unimportant;AUDIO;beloved;5809;CLOUDINARY;why consequently youthfully;https://minor-pigpen.info;DELETED;2023-12-05T23:46:50;2023-12-05T14:41:46
4c0796b9-cbb5-42d1-a66e-e0cd41259231;899e5060-d844-4ebb-aea8-9b86b52e80ab;where extract;AUDIO;a that qua;19860;AWS_S3;off;https://intelligent-stock.name;ACTIVE;2023-12-05T23:52:45;2023-12-05T17:38:02
a36d07fa-a746-42ac-be6c-be0bf7e115c0;f4114a0a-e557-4bb9-a563-936d924f7363;whereas oh readjust;VIDEO;downright ha defendant;23902;CLOUDINARY;from who reference;https://light-knight.org;DELETED;2023-12-05T17:46:35;2023-12-06T04:36:07
11294862-8ffc-49f8-bde8-04048010a415;32beba9e-5558-49cb-82fa-fe1cfe29c4b4;alb up;IMAGE;at;26206;AWS_S3;step-mother amidst;https://rotten-strait.biz;DELETED;2023-12-05T11:03:16;2023-12-06T04:28:06
e61c55ae-ceed-49d3-b128-ee06ece23b5c;e29c22d3-6939-48c2-8789-a221aee1fdc4;pro inwardly;AUDIO;conceptualize;27590;LOCAL;clamour mechanic;https://wicked-gloom.org/;DELETED;2023-12-05T18:56:19;2023-12-05T22:21:10
20f2bf07-d90b-4159-9ec9-a51add40ee99;40012884-8810-4418-8307-81320d454dba;gosh;IMAGE;deceivingly;20725;LOCAL;bracelet;https://aggravating-beret.org;ACTIVE;2023-12-06T09:11:56;2023-12-06T06:51:59
fb13d418-bc78-48a7-9fd1-099e3620cc78;af91e4a7-50a7-440e-af16-b187699e3e5e;bobble;VIDEO;openly ick home;272;LOCAL;sleepily;https://appropriate-iridescence.name/;ACTIVE;2023-12-06T06:43:38;2023-12-05T15:29:11
912f8a9d-1e8f-4d7d-8990-ada0abcd863d;31b9a1be-a51f-4971-b141-a110b2dcb400;or even;AUDIO;daily;29838;AWS_S3;flint trash;https://that-pneumonia.net/;ACTIVE;2023-12-05T23:35:31;2023-12-06T00:56:56
2635428b-98c7-4697-bb40-926a14dd64a6;918eab6b-a45b-48a9-ae90-454de6ab4f23;promptly underpants;IMAGE;and;18860;LOCAL;yuck;https://svelte-juggernaut.name;ACTIVE;2023-12-05T19:15:42;2023-12-05T22:30:47
